"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA-binding transcription factor binding","GO:0140297","true","0.00001905784844824199","4.719926130969434","489","52","11","20195","BCL2,SIRT1,GTF2B,E2F1,CD34,CDKN2A,STAT3,KLF4,SIRT2,PER1,PPARA"
"GO:MF","cyclin-dependent protein serine/threonine kinase regulator activity","GO:0016538","true","0.00007542300274938027","4.122496181403655","48","52","5","20195","CDK4,CCND3,CCNE1,CCNG1,CDKN2A"
"GO:MF","protein kinase regulator activity","GO:0019887","false","0.00008475130137928443","4.0718536243637855","239","52","8","20195","CDK4,CCND3,CCNE1,CCNG1,CDKN2A,CXCL10,TGFB1,KRAS"
"GO:MF","transcription factor binding","GO:0008134","false","0.0001471999826516316","3.8320922411826306","599","52","11","20195","BCL2,SIRT1,GTF2B,E2F1,CD34,CDKN2A,STAT3,KLF4,SIRT2,PER1,PPARA"
"GO:MF","kinase regulator activity","GO:0019207","false","0.0001916192769031403","3.7175608030260356","266","52","8","20195","CDK4,CCND3,CCNE1,CCNG1,CDKN2A,CXCL10,TGFB1,KRAS"
"GO:MF","enzyme binding","GO:0019899","true","0.00024644598983432044","3.6082782442854615","2093","52","19","20195","CDH1,BCL2,MET,MYCN,CCND3,CDC25A,PTEN,CCNE1,SIRT1,NOTCH1,GTF2B,E2F1,CDKN2A,STAT3,KCNH1,SIRT2,PER1,STAU1,PPARA"
"GO:MF","protein binding","GO:0005515","false","0.0012565273012370341","2.9008280708216776","14881","52","51","20195","CDH1,GRM7,BCL2,MYB,MET,CDK4,PDCD4,RAB21,MYCN,CCND3,CDC25A,FMOD,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,GTF2B,ADAM17,TGIF1,PEA15,E2F1,BMP7,VIM,XRN2,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CYBB,CXCL10,TGFB1,SIRT2,MAP3K14,PER1,EIF5A2,S100P,STAU1,KDR,IL1B,PPARA,KRAS"
"GO:MF","identical protein binding","GO:0042802","true","0.0016375105126504622","2.7858159032009544","2136","52","18","20195","CDH1,BCL2,MET,PTEN,SIRT1,NOTCH1,VIM,XRN2,BAX,HPRT1,VEGFA,MMP9,STAT3,KCNH1,TGFB1,S100P,KDR,KRAS"
"GO:MF","kinase binding","GO:0019900","false","0.002251142039414596","2.647597101628617","792","52","11","20195","CDH1,MYCN,CCND3,CDC25A,CCNE1,SIRT1,E2F1,CDKN2A,STAT3,KCNH1,PER1"
"GO:MF","protein domain specific binding","GO:0019904","false","0.004522604876822178","2.3446113532913575","690","52","10","20195","GRM7,BCL2,PTEN,SIRT1,ADAM17,VIM,BAX,CDKN2A,IL1B,PPARA"
