source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,DNA-binding transcription factor binding,GO:0140297,TRUE,2.30483E-06,5.637361464,489,54,12,20195,"BCL2,SIRT1,GTF2B,E2F1,CD34,CDKN2A,STAT3,KLF4,SIRT2,PER1,FOXP3,PPARA"
GO:MF,enzyme binding,GO:0019899,TRUE,1.61105E-05,4.792891651,2093,54,21,20195,"CDH1,BCL2,MET,MYCN,CCND3,CDC25A,PTEN,CCNE1,SIRT1,NOTCH1,GTF2B,E2F1,CDKN2A,STAT3,KCNH1,SIRT2,PER1,FOXP3,SRSF1,STAU1,PPARA"
GO:MF,transcription factor binding,GO:0008134,FALSE,2.17499E-05,4.662543732,599,54,12,20195,"BCL2,SIRT1,GTF2B,E2F1,CD34,CDKN2A,STAT3,KLF4,SIRT2,PER1,FOXP3,PPARA"
GO:MF,protein binding,GO:0005515,FALSE,3.20431E-05,4.494265514,14881,54,54,20195,"CDH1,GRM7,BCL2,MYB,MET,CDK4,PDCD4,RAB21,MYCN,CCND3,CDC25A,FMOD,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,GTF2B,ADAM17,TGIF1,BCL2L2,PEA15,E2F1,BMP7,VIM,XRN2,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CYBB,CXCL10,TGFB1,SIRT2,MAP3K14,PER1,EIF5A2,S100P,FOXP3,SRSF1,STAU1,KDR,IL1B,PPARA,KRAS"
GO:MF,cyclin-dependent protein serine/threonine kinase regulator activity,GO:0016538,TRUE,8.44844E-05,4.073223723,48,54,5,20195,"CDK4,CCND3,CCNE1,CCNG1,CDKN2A"
GO:MF,protein kinase regulator activity,GO:0019887,FALSE,0.000106068,3.97441661,239,54,8,20195,"CDK4,CCND3,CCNE1,CCNG1,CDKN2A,CXCL10,TGFB1,KRAS"
GO:MF,identical protein binding,GO:0042802,TRUE,0.000122936,3.910320356,2136,54,20,20195,"CDH1,BCL2,MET,PTEN,SIRT1,NOTCH1,BCL2L2,VIM,XRN2,BAX,HPRT1,VEGFA,MMP9,STAT3,KCNH1,TGFB1,S100P,FOXP3,KDR,KRAS"
GO:MF,kinase regulator activity,GO:0019207,FALSE,0.000239246,3.621156173,266,54,8,20195,"CDK4,CCND3,CCNE1,CCNG1,CDKN2A,CXCL10,TGFB1,KRAS"
GO:MF,BH domain binding,GO:0051400,FALSE,0.000714704,3.145873838,9,54,3,20195,"BCL2,BCL2L2,BAX"
GO:MF,protein domain specific binding,GO:0019904,FALSE,0.000817118,3.087715118,690,54,11,20195,"GRM7,BCL2,PTEN,SIRT1,ADAM17,BCL2L2,VIM,BAX,CDKN2A,IL1B,PPARA"
GO:MF,RNA polymerase II-specific DNA-binding transcription factor binding,GO:0061629,FALSE,0.001978935,2.703568446,353,54,8,20195,"SIRT1,GTF2B,CD34,CDKN2A,STAT3,KLF4,FOXP3,PPARA"
GO:MF,kinase binding,GO:0019900,FALSE,0.003068223,2.513113033,792,54,11,20195,"CDH1,MYCN,CCND3,CDC25A,CCNE1,SIRT1,E2F1,CDKN2A,STAT3,KCNH1,PER1"
GO:MF,protein dimerization activity,GO:0046983,FALSE,0.012388775,1.906971619,1099,54,12,20195,"GRM7,BCL2,MYCN,E2F3,BCL2L2,E2F1,BAX,VEGFA,STAT3,CYBB,S100P,FOXP3"
GO:MF,protein-containing complex binding,GO:0044877,TRUE,0.01477258,1.830543641,1311,54,13,20195,"PTEN,SIRT1,ADAM17,BCL2L2,VIM,MMP9,KCNH1,TGFB1,EIF5A2,KDR,IL1B,PPARA,KRAS"
GO:MF,molecular function regulator activity,GO:0098772,TRUE,0.029376343,1.532002265,2057,54,16,20195,"GRM7,BCL2,MET,CDK4,CCND3,CCNE1,NOTCH1,CCNG1,BMP7,CDKN2A,VEGFA,CXCL10,TGFB1,MAP3K14,IL1B,KRAS"
GO:MF,NAD-dependent histone deacetylase activity,GO:0017136,TRUE,0.033246494,1.478254145,5,54,2,20195,"SIRT1,SIRT2"
GO:MF,sequence-specific DNA binding,GO:0043565,TRUE,0.044034632,1.356205625,1672,54,14,20195,"BCL2,MYB,MYCN,E2F3,SIRT1,GTF2B,TGIF1,E2F1,XRN2,STAT3,KLF4,PER1,FOXP3,PPARA"
GO:MF,protein kinase binding,GO:0019901,FALSE,0.047352838,1.324653986,709,54,9,20195,"CDH1,CCND3,CDC25A,CCNE1,SIRT1,E2F1,CDKN2A,STAT3,KCNH1"
GO:MF,BH3 domain binding,GO:0051434,FALSE,0.049784172,1.30290871,6,54,2,20195,"BCL2,BAX"
GO:MF,NFAT protein binding,GO:0051525,FALSE,0.049784172,1.30290871,6,54,2,20195,"FOXP3,PPARA"
GO:MF,keratin filament binding,GO:1990254,TRUE,0.049784172,1.30290871,6,54,2,20195,"SIRT1,VIM"
GO:BP,cell population proliferation,GO:0008283,TRUE,1.78E-17,16.74967594,1994,54,33,21110,"BCL2,CDK4,PDCD4,MYCN,CCND3,CDC25A,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,ADAM17,BCL2L2,E2F1,BMP7,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,STAT3,KLF4,KCNH1,CXCL10,TGFB1,SIRT2,FOXP3,KDR,IL1B,KRAS"
GO:BP,regulation of cell death,GO:0010941,FALSE,3.09E-15,14.50980299,1648,54,29,21110,"BCL2,MET,PDCD4,MYCN,PTEN,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,PEA15,E2F1,BMP7,CD34,BAX,CDKN2A,MMP2,VEGFA,MMP9,KLF4,CXCL10,TGFB1,SIRT2,KDR,IL1B,PPARA,KRAS"
